Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
2024-07-16 16:25:00,16:25:00,CNR5503358927,Driver Not Found,CID552049,Bike,Peenya,MG Road,,,,,,,594,,0,,,#NAME?
2024-07-12 18:02:00,18:02:00,CNR2708187615,Success,CID415325,Prime Plus,Devanahalli,Rajajinagar,294.0,95.0,,,No,,443,Cash,5,3.4,3.1,#NAME?
2024-07-16 22:35:00,22:35:00,CNR1625119636,Success,CID745270,eBike,Ramamurthy Nagar,Sahakar Nagar,35.0,95.0,,,No,,721,Cash,19,3.8,4.7,#NAME?
2024-07-26 13:20:00,13:20:00,CNR9312632867,Success,CID649563,Prime SUV,Tumkur Road,Mysore Road,217.0,120.0,,,Yes,Vehicle Breakdown,2936,Cash,34,4.1,4.6,#NAME?
2024-07-25 3:33:00,3:33:00,CNR5274603340,Success,CID477783,Prime SUV,Electronic City,Banashankari,77.0,35.0,,,No,,747,Cash,25,5.0,3.5,#NAME?
2024-07-17 3:30:00,3:30:00,CNR1050003752,Success,CID993137,Bike,Chamarajpet,Shivajinagar,308.0,110.0,,,No,,799,UPI,25,3.9,4.7,#NAME?
2024-07-07 5:59:00,5:59:00,CNR3603517873,Success,CID386651,eBike,Rajarajeshwari Nagar,Marathahalli,63.0,135.0,,,No,,300,Cash,14,3.3,4.6,#NAME?
2024-07-01 2:21:00,2:21:00,CNR1557960488,Driver Not Found,CID884386,Prime SUV,Rajarajeshwari Nagar,Varthur,,,,,,,162,,0,,,#NAME?
2024-07-01 2:45:00,2:45:00,CNR9758857830,Success,CID528642,Prime Plus,HSR Layout,Magadi Road,308.0,70.0,,,No,,618,UPI,30,3.5,3.7,#NAME?
2024-07-02 4:17:00,4:17:00,CNR8080410192,Success,CID416746,eBike,Jayanagar,JP Nagar,91.0,120.0,,,No,,251,UPI,9,5.0,4.4,#NAME?
2024-07-13 2:27:00,2:27:00,CNR1648186942,Canceled by Driver,CID713303,Bike,Hennur,Padmanabhanagar,,,,More than permitted people in there,,,543,,0,,,#NAME?
2024-07-25 10:57:00,10:57:00,CNR2433490646,Success,CID954071,Mini,Hennur,Chamarajpet,35.0,115.0,,,No,,724,Cash,11,4.5,4.8,#NAME?
2024-07-18 0:37:00,0:37:00,CNR7825941026,Success,CID234007,Mini,Marathahalli,Langford Town,196.0,80.0,,,No,,316,UPI,27,3.1,4.7,#NAME?
2024-07-22 13:08:00,13:08:00,CNR9148580255,Success,CID164393,Prime SUV,Tumkur Road,Magadi Road,224.0,60.0,,,No,,138,UPI,24,5.0,3.0,#NAME?
2024-07-15 7:21:00,7:21:00,CNR2946309760,Success,CID984343,Prime Plus,Hosur Road,Hennur,280.0,55.0,,,No,,467,Cash,24,4.5,4.2,#NAME?
2024-07-19 10:29:00,10:29:00,CNR3472489570,Driver Not Found,CID621402,Prime SUV,Electronic City,Marathahalli,,,,,,,565,,0,,,#NAME?
2024-07-07 16:56:00,16:56:00,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,,,,More than permitted people in there,,,276,,0,,,#NAME?
2024-07-06 1:18:00,1:18:00,CNR7486448495,Success,CID931462,Auto,Ulsoor,Padmanabhanagar,63.0,65.0,,,No,,296,UPI,5,4.0,4.3,#NAME?
2024-07-04 15:32:00,15:32:00,CNR2735636504,Driver Not Found,CID111173,Prime SUV,Cox Town,Chamarajpet,,,,,,,1310,,0,,,#NAME?
2024-07-26 17:17:00,17:17:00,CNR7533317866,Canceled by Customer,CID867762,Mini,Shantinagar,Hulimavu,,,AC is Not working,,,,771,,0,,,#NAME?
2024-07-01 2:55:00,2:55:00,CNR5758479139,Success,CID805528,Prime Sedan,RT Nagar,Chickpet,42.0,25.0,,,No,,279,Cash,43,4.3,3.4,#NAME?
2024-07-22 16:24:00,16:24:00,CNR8021985469,Success,CID604351,Mini,Hosur Road,Kadugodi,308.0,145.0,,,No,,321,Cash,39,3.3,4.7,#NAME?
2024-07-21 19:56:00,19:56:00,CNR3800597072,Success,CID386103,Mini,JP Nagar,Chickpet,189.0,35.0,,,No,,457,Cash,1,4.1,3.4,#NAME?
2024-07-05 13:55:00,13:55:00,CNR6179425512,Success,CID607886,Mini,Bannerghatta Road,Basavanagudi,217.0,45.0,,,No,,139,Cash,45,4.9,3.8,#NAME?
2024-07-29 19:40:00,19:40:00,CNR7924302885,Success,CID517661,Auto,Magadi Road,Nagarbhavi,168.0,140.0,,,Yes,Customer Demand,685,UPI,7,4.1,4.9,#NAME?
2024-07-15 21:19:00,21:19:00,CNR7181374756,Canceled by Driver,CID700952,Auto,Devanahalli,Kammanahalli,,,,More than permitted people in there,,,150,,0,,,#NAME?
2024-07-16 13:15:00,13:15:00,CNR2830899440,Success,CID808607,Mini,Kadugodi,Frazer Town,133.0,90.0,,,No,,196,UPI,21,4.3,3.4,#NAME?
2024-07-14 11:37:00,11:37:00,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,,,,Personal & Car related issue,,,424,,0,,,#NAME?
2024-07-11 21:40:00,21:40:00,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,Chickpet,Shantinagar,,,,More than permitted people in there,,,827,,0,,,#NAME?
2024-07-14 4:15:00,4:15:00,CNR8854206454,Success,CID932765,eBike,Langford Town,Kadugodi,301.0,115.0,,,No,,770,Cash,27,3.3,4.3,#NAME?
2024-07-17 7:30:00,7:30:00,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,,,,,,,325,,0,,,#NAME?
2024-07-04 14:43:00,14:43:00,CNR6215530366,Success,CID713821,eBike,Devanahalli,Jayanagar,161.0,25.0,,,No,,986,Cash,18,4.6,4.8,#NAME?
2024-07-29 14:56:00,14:56:00,CNR4314026109,Success,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,266.0,115.0,,,No,,2208,Cash,40,4.0,4.5,#NAME?
2024-07-17 19:55:00,19:55:00,CNR9027465661,Success,CID737388,Prime Sedan,BTM Layout,Majestic,168.0,30.0,,,No,,1695,UPI,20,4.5,4.7,#NAME?
2024-07-20 10:58:00,10:58:00,CNR5003494701,Canceled by Driver,CID761134,Mini,Sarjapur Road,Majestic,,,,Customer related issue,,,305,,0,,,#NAME?
2024-07-08 9:18:00,9:18:00,CNR2064658821,Success,CID954441,Bike,Peenya,Devanahalli,63.0,105.0,,,No,,2271,Cash,37,3.4,4.2,#NAME?
2024-07-07 1:31:00,1:31:00,CNR2149029235,Success,CID596869,Auto,Chickpet,Hennur,154.0,135.0,,,No,,240,UPI,4,4.0,4.9,#NAME?
2024-07-30 1:20:00,1:20:00,CNR9704400677,Success,CID974657,Mini,Langford Town,Vijayanagar,287.0,95.0,,,No,,482,Cash,37,4.4,3.9,#NAME?
2024-07-03 11:25:00,11:25:00,CNR8836460204,Success,CID716037,eBike,Bellandur,Shantinagar,252.0,45.0,,,No,,536,UPI,17,3.9,4.4,#NAME?
2024-07-11 10:44:00,10:44:00,CNR3697318609,Success,CID915228,Bike,Sarjapur Road,Chickpet,287.0,100.0,,,No,,188,UPI,37,4.9,4.1,#NAME?
2024-07-22 18:17:00,18:17:00,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,Frazer Town,Whitefield,,,,Customer related issue,,,202,,0,,,#NAME?
2024-07-21 6:54:00,6:54:00,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,Richmond Town,Jayanagar,,,,Customer related issue,,,1609,,0,,,#NAME?
2024-07-22 0:21:00,0:21:00,CNR8346388703,Canceled by Driver,CID680143,Mini,Magadi Road,BTM Layout,,,,Personal & Car related issue,,,1821,,0,,,#NAME?
2024-07-26 9:39:00,9:39:00,CNR4445082348,Success,CID336831,Mini,Yelahanka,BTM Layout,42.0,40.0,,,No,,415,UPI,22,3.6,3.1,#NAME?
2024-07-26 6:06:00,6:06:00,CNR5528764313,Success,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,308.0,145.0,,,No,,2125,UPI,6,3.8,4.6,#NAME?
2024-07-03 15:04:00,15:04:00,CNR3967141568,Canceled by Driver,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,,,,Customer related issue,,,758,,0,,,#NAME?
2024-07-07 9:55:00,9:55:00,CNR7054352438,Driver Not Found,CID270321,Mini,Hennur,Cox Town,,,,,,,653,,0,,,#NAME?
2024-07-22 12:51:00,12:51:00,CNR1640228587,Success,CID190281,Prime Sedan,Kengeri,Mysore Road,168.0,135.0,,,Yes,Other Issue,704,Cash,42,4.7,4.8,#NAME?
2024-07-19 4:48:00,4:48:00,CNR6684033796,Success,CID352268,Auto,Indiranagar,Whitefield,84.0,105.0,,,No,,385,Cash,19,4.1,3.7,#NAME?
2024-07-01 5:03:00,5:03:00,CNR4158584922,Success,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,35.0,45.0,,,No,,934,UPI,12,3.3,5.0,#NAME?
2024-07-23 4:01:00,4:01:00,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,Banashankari,Chickpet,,,,Customer related issue,,,615,,0,,,#NAME?
2024-07-26 8:22:00,8:22:00,CNR5661490576,Success,CID546076,Bike,Magadi Road,Electronic City,56.0,30.0,,,No,,2202,Cash,44,4.7,3.4,#NAME?
2024-07-05 12:36:00,12:36:00,CNR2304446757,Success,CID432144,eBike,Rajarajeshwari Nagar,MG Road,252.0,145.0,,,No,,205,Cash,43,4.1,3.1,#NAME?
2024-07-18 7:21:00,7:21:00,CNR3780555542,Canceled by Customer,CID803813,Mini,Tumkur Road,Chamarajpet,,,Driver asked to cancel,,,,513,,0,,,#NAME?
2024-07-21 8:21:00,8:21:00,CNR1559782157,Success,CID906966,Auto,Ulsoor,Bellandur,182.0,50.0,,,No,,247,Cash,8,3.1,3.3,#NAME?
2024-07-13 2:55:00,2:55:00,CNR7623690602,Success,CID526261,Bike,Cox Town,Malleshwaram,259.0,75.0,,,Yes,Other Issue,558,UPI,41,3.2,3.2,#NAME?
2024-07-08 7:56:00,7:56:00,CNR2098165198,Success,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,217.0,55.0,,,No,,291,UPI,5,3.8,3.3,#NAME?
2024-07-22 4:32:00,4:32:00,CNR5502012579,Success,CID748475,Mini,Vijayanagar,Kengeri,56.0,110.0,,,No,,925,Cash,22,3.0,4.0,#NAME?
2024-07-24 21:58:00,21:58:00,CNR4698965967,Success,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,280.0,30.0,,,No,,121,Cash,44,3.8,4.5,#NAME?
2024-07-21 3:13:00,3:13:00,CNR8566688320,Driver Not Found,CID175878,Bike,Chickpet,Shivajinagar,,,,,,,404,,0,,,#NAME?
2024-07-29 12:44:00,12:44:00,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Kammanahalli,Magadi Road,,,Change of plans,,,,223,,0,,,#NAME?
2024-07-15 8:31:00,8:31:00,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,,,,,,,2989,,0,,,#NAME?
2024-07-01 11:01:00,11:01:00,CNR3404012927,Success,CID344186,Mini,Chickpet,Chamarajpet,63.0,130.0,,,No,,728,Cash,14,4.3,5.0,#NAME?
2024-07-11 10:50:00,10:50:00,CNR9282027845,Success,CID767941,Bike,Yeshwanthpur,KR Puram,210.0,85.0,,,No,,2416,UPI,49,3.1,3.8,#NAME?
2024-07-30 10:02:00,10:02:00,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Shivajinagar,HSR Layout,,,Driver is not moving towards pickup location,,,,371,,0,,,#NAME?
2024-07-07 18:36:00,18:36:00,CNR4241139229,Success,CID133723,Prime Plus,Kammanahalli,Shivajinagar,203.0,25.0,,,No,,258,Cash,32,4.7,4.1,#NAME?
2024-07-27 23:48:00,23:48:00,CNR8306274838,Driver Not Found,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,,,,,,,170,,0,,,#NAME?
2024-07-16 15:25:00,15:25:00,CNR1903850514,Canceled by Customer,CID126419,eBike,Mysore Road,Vijayanagar,,,Driver asked to cancel,,,,151,,0,,,#NAME?
2024-07-26 21:02:00,21:02:00,CNR1852948877,Canceled by Driver,CID953990,Prime Sedan,Yelahanka,Majestic,,,,Customer related issue,,,425,,0,,,#NAME?
2024-07-04 3:31:00,3:31:00,CNR5744401218,Success,CID507511,Bike,Yelahanka,Varthur,91.0,25.0,,,No,,220,UPI,2,3.4,3.1,#NAME?
2024-07-16 10:15:00,10:15:00,CNR7221640450,Success,CID195611,Prime Sedan,RT Nagar,Whitefield,301.0,145.0,,,No,,472,UPI,16,3.3,4.5,#NAME?
2024-07-20 22:27:00,22:27:00,CNR8395803905,Canceled by Driver,CID925776,eBike,Bannerghatta Road,RT Nagar,,,,Customer related issue,,,616,,0,,,#NAME?
2024-07-15 9:20:00,9:20:00,CNR3750351374,Success,CID524066,Prime SUV,Mysore Road,Peenya,42.0,130.0,,,No,,473,Cash,49,4.0,4.2,#NAME?
2024-07-04 18:13:00,18:13:00,CNR2869164142,Success,CID884352,Prime SUV,BTM Layout,Malleshwaram,126.0,115.0,,,No,,259,Cash,11,4.8,4.5,#NAME?
2024-07-27 11:58:00,11:58:00,CNR8303547069,Success,CID471469,Mini,Langford Town,Richmond Town,77.0,35.0,,,No,,310,Credit Card,2,3.3,3.1,#NAME?
2024-07-09 21:32:00,21:32:00,CNR7368110421,Canceled by Driver,CID372218,Mini,Peenya,Sarjapur Road,,,,Personal & Car related issue,,,200,,0,,,#NAME?
2024-07-30 10:14:00,10:14:00,CNR7500310853,Success,CID377809,Prime Sedan,Jayanagar,Richmond Town,189.0,85.0,,,No,,471,UPI,39,3.5,3.7,#NAME?
2024-07-13 21:23:00,21:23:00,CNR8925319975,Success,CID388701,Prime Sedan,Yelahanka,Rajajinagar,287.0,125.0,,,No,,442,UPI,37,4.1,4.5,#NAME?
2024-07-29 19:56:00,19:56:00,CNR9261561390,Success,CID853883,Auto,Koramangala,Majestic,175.0,65.0,,,No,,228,Cash,10,3.7,4.3,#NAME?
2024-07-24 9:25:00,9:25:00,CNR3165383119,Canceled by Driver,CID765484,Prime SUV,Devanahalli,KR Puram,,,,Customer was coughing/sick,,,232,,0,,,#NAME?
2024-07-29 23:15:00,23:15:00,CNR7006798592,Driver Not Found,CID786658,Prime Sedan,Ulsoor,RT Nagar,,,,,,,344,,0,,,#NAME?
2024-07-08 7:52:00,7:52:00,CNR5613886410,Success,CID107686,Auto,Marathahalli,KR Puram,266.0,65.0,,,No,,2604,UPI,10,3.8,4.1,#NAME?
2024-07-16 4:52:00,4:52:00,CNR5841521780,Success,CID768996,Prime SUV,Ramamurthy Nagar,Varthur,210.0,120.0,,,No,,274,Cash,37,3.1,3.6,#NAME?
2024-07-09 13:07:00,13:07:00,CNR1281921513,Canceled by Customer,CID163474,Mini,Malleshwaram,Magadi Road,,,Driver is not moving towards pickup location,,,,895,,0,,,#NAME?
2024-07-26 16:05:00,16:05:00,CNR2959980296,Success,CID509309,Bike,Hosur Road,Richmond Town,91.0,60.0,,,No,,279,Cash,34,4.5,3.2,#NAME?
2024-07-26 23:32:00,23:32:00,CNR6765124275,Success,CID630281,Prime Sedan,Chamarajpet,Banashankari,294.0,45.0,,,No,,1946,Cash,16,3.0,3.5,#NAME?
2024-07-05 4:23:00,4:23:00,CNR9762994658,Success,CID443169,Prime Plus,RT Nagar,Sahakar Nagar,231.0,65.0,,,No,,1024,UPI,4,4.8,4.1,#NAME?
2024-07-23 10:25:00,10:25:00,CNR8072285783,Canceled by Customer,CID652081,Prime Plus,Frazer Town,Sarjapur Road,,,Driver asked to cancel,,,,294,,0,,,#NAME?
2024-07-23 19:44:00,19:44:00,CNR8116331340,Success,CID777382,Auto,RT Nagar,Sarjapur Road,266.0,55.0,,,No,,252,UPI,8,4.0,4.8,#NAME?
2024-07-28 10:29:00,10:29:00,CNR3491700602,Success,CID247449,Mini,Richmond Town,Langford Town,84.0,145.0,,,No,,2542,UPI,2,3.5,4.1,#NAME?
2024-07-19 15:04:00,15:04:00,CNR2166456022,Success,CID930312,Mini,Yeshwanthpur,Indiranagar,266.0,75.0,,,No,,1821,Cash,34,4.4,4.7,#NAME?
2024-07-12 8:33:00,8:33:00,CNR2177201692,Success,CID614111,Mini,Richmond Town,Yeshwanthpur,105.0,145.0,,,No,,200,Cash,31,4.9,4.0,#NAME?
2024-07-16 10:22:00,10:22:00,CNR5755482161,Canceled by Driver,CID126097,Prime SUV,Koramangala,Indiranagar,,,,Customer was coughing/sick,,,152,,0,,,#NAME?
2024-07-25 11:15:00,11:15:00,CNR4484571820,Success,CID645793,Auto,HSR Layout,Hosur Road,133.0,145.0,,,No,,2388,Cash,4,4.4,3.6,#NAME?
2024-07-28 6:34:00,6:34:00,CNR7377461832,Success,CID719814,eBike,Ulsoor,Padmanabhanagar,77.0,100.0,,,No,,783,Cash,37,3.5,3.5,#NAME?
2024-07-03 20:56:00,20:56:00,CNR2363111317,Driver Not Found,CID665310,Prime Plus,Electronic City,KR Puram,,,,,,,208,,0,,,#NAME?
2024-07-17 7:28:00,7:28:00,CNR2976802436,Success,CID592039,Prime SUV,Tumkur Road,Cox Town,168.0,50.0,,,No,,1181,UPI,10,3.4,4.9,#NAME?
2024-07-01 3:29:00,3:29:00,CNR8474873609,Canceled by Customer,CID968838,Prime Plus,HSR Layout,KR Puram,,,Change of plans,,,,843,,0,,,#NAME?
2024-07-20 13:53:00,13:53:00,CNR1945536909,Success,CID796614,Auto,Sahakar Nagar,JP Nagar,224.0,80.0,,,No,,441,Cash,7,3.0,3.1,#NAME?
2024-07-10 2:02:00,2:02:00,CNR8097291227,Success,CID734844,Prime Plus,Mysore Road,Rajajinagar,238.0,25.0,,,No,,332,UPI,38,3.8,3.4,#NAME?
2024-07-12 16:22:00,16:22:00,CNR1433815646,Success,CID307267,Prime SUV,Banashankari,Marathahalli,42.0,65.0,,,No,,832,Cash,11,3.4,4.1,#NAME?
2024-07-15 6:58:00,6:58:00,CNR5876056264,Success,CID568720,Prime SUV,Kadugodi,Shantinagar,231.0,30.0,,,No,,1361,UPI,47,4.0,3.9,#NAME?
2024-07-04 21:47:00,21:47:00,CNR2943788515,Canceled by Driver,CID627311,Bike,Shantinagar,Ramamurthy Nagar,,,,More than permitted people in there,,,415,,0,,,#NAME?
2024-07-28 7:06:00,7:06:00,CNR5599931622,Success,CID822709,Prime SUV,Peenya,Frazer Town,42.0,55.0,,,No,,747,Cash,28,3.8,3.0,#NAME?
2024-07-02 1:54:00,1:54:00,CNR6776927575,Success,CID817693,Bike,Hosur Road,Nagarbhavi,245.0,55.0,,,No,,129,Cash,5,4.4,4.2,#NAME?
2024-07-10 18:38:00,18:38:00,CNR4880622143,Success,CID602848,eBike,Rajajinagar,Kammanahalli,98.0,100.0,,,No,,296,UPI,34,3.3,4.2,#NAME?
2024-07-27 3:13:00,3:13:00,CNR2841702950,Success,CID268274,Auto,Sarjapur Road,Sarjapur Road,231.0,105.0,,,No,,337,UPI,18,4.5,4.2,#NAME?
